0$, altså via e-post$, altså via e-post$1
1$det som virkelig teller$det som verkeleg tel$1
2$leveranse av masker før$leveranse av masker før$1
3$at Botanisk hage kunne$at Botanisk hage kunne$1
4$til å teste maskenes$til å testa maskenes$1
5$Report , forteller generalsekretær$Report , fortel generalsekretær$1
6$norske helsemyndigheter i forbindelse$norske helsestyresmakter i samband$1
7$sendt ut oppsigelser til$sendt ut oppseiingar til$1
8$gjorde han det samtidig$gjorde han det samtidig$1
9$ikke Melby spekulere i.$ikkje Melby spekulera i.$2
10$viser samtidig at det$viser samtidig at det$1
11$situasjonen i et område$situasjonen i eit område$1
12$Forlengelsen av pakkereise­arrangørenes tilbakebetaligns­frist$Forlenginga av pakkereisearrangøranes tilbakebetalignsfrist$0
13$med råd som åpner$med råd som opnar$1
14$Det er ikke sikkert$Det er ikkje sikkert$0
15$og 150.000 nordmenn lever$og 150.000 nordmenn lever$1
16$unngå at de flammer$unngå at dei flammar$1
17$åpning er å trygge$opning er å trygga$1
18$Hvis presidentvalget ikke holdes$Viss presidentvalet ikkje blir halde$0
19$i risikogrupper skal fortsette$i risikogrupper skal halda fram$1
20$å åpne på en$å opna på ein$1
21$ut sesongen , men$ut sesongen , men$1
22$bestilt en reise med$bestilte ei reise med$1
23$nye permitteringsreglene kan gjøre$nye permisjonsreglane kan gjera$1
24$, individuelle forskjeller som$, individuelle forskjellar som$1
25$det at 5G-teknologi er$det at 5G-teknologi er$1
26$særlig er behov for$særleg er behov for$1
27$, og tror noe$, og trur noko$1
28$Helse Bergen , svaret$Helse Bergen , svaret$1
29$inn i alle menn$inn i alle menn$1
30$deg , og kanskje$deg , og kanskje$1
31$Akkurat hvilket type arbeid$Akkurat kva type arbeid$0
32$det kan vurdere veldig$det kan vurdera veldig$1
33$svar på kvalitetstesten senest$svar på kvalitetstesten seinast$1
34$seg rundt og laget$seg rundt og laga$1
35$og langt fra folk$og langt frå folk$1
36$, og at man$, og at ein$1
37$bare er noen tusen$berre er nokon tusen$1
38$er svært usikre på$er svært usikre på$1
39$veterinær med å avlive$veterinær med å avliva$1
40$til å trekke vekk$til å trekka vekk$1
41$skal settes til side$skal setjast til side$1
42$, der rundt 250$, der rundt 250$1
43$slett brenne ut ,$slett brenna ut ,$1
44$og ta en dyp$og ta ein djup$1
45$sier opp alle ansatte$seier opp alle tilsette$1
46$centimeter , 13 centimeter$centimeter , 13 centimeter$1
47$en mann var knivstukket$ein mann var knivstukken$1
48$om fire år ,$om fire år ,$1
49$likevel , sier Anna$likevel , seier Anna$1
50$det legges til rette$det blir lagt til rette$1
51$i fjøset er døde$i fjøset er døde$1
52$men årets krise skiller$men årets krise skil$1
53$ble han hyllet av$vart han hylla av$1
54$merket 3M og fra$merka 3M og frå$1
55$av dem av mellom$av dei av mellom$1
56$migrasjon , sykdommer og$migrasjon , sjukdommar og$1
57$en enorm hastighet ,$ein enorm fart ,$1
58$at kopimasken ikke tilfredsstiller$at kopimaska ikkje tilfredsstiller$1
59$er lost in translation:$er lost in translation:$2
60$det produseres munnbind i$det blir produsert munnbind i$1
61$hos Turistforeningen , føy$hos Turistforeningen , føy$1
62$og så fram til$og såg fram til$1
63$overblikk på situasjonen ,$overblikk på situasjonen ,$1
64$at antallet sykehusinnleggelser vil$at talet på sjukehusinnleggingar vil$1
65$vurderingene som regjeringen skal$vurderingane som regjeringa skal$1
66$i landet har fått$i landet har fått$1
67$inntil seks års fengsel$inntil seks års fengsel$1
68$isolasjon , noe mange$isolasjon , noko mange$1
69$bokens kanskje største mysterium.$bokas kanskje største mysterium.$2
70$Resultatene fra toktene er$Resultata frå tokta er$0
71$del av koronastøtten til$del av koronastøtta til$1
72$Bakgrunnen er at flere$Bakgrunnen er at fleire$0
73$det som skjer i$det som skjer i$1
74$sikksakk over dem fra$sikksakk over dei frå$1
75$kom , sa Skottlands$kom , sa Skottlands$1
76$bypåske , men heller$bypåske , men heller$1
77$understreker at de ikke$understrekar at dei ikkje$1
78$, byrådsleder Raymond Johansen$, byrådsleiar Raymond Johansen$1
79$risikogrupper skal fortsette med$risikogrupper skal halda fram med$1
80$kommer fra nasjonale myndigheter.$kjem frå nasjonale styresmakter.$2
81$i hodet på deg$i hovudet på deg$1
82$dette til at alle$dette til at alle$1
83$de evige jaktmarker ,$dei evige jaktmarkene ,$1
84$forsøke å finne den$prøva å finna han$1
85$til å se at$til å sjå at$1
86$skape utfordringer , sier$skapa utfordringar , seier$1
87$, skriver han i$, skriv han i$1
88$det internasjonale friidrettsforbundet ,$det internasjonale friidrettsforbundet ,$1
89$ansatte synes dette er$tilsette synest dette er$1
90$fra regjeringen skal bidra$frå regjeringa skal bidra$1
91$nå , i koronatiden$no , i koronatida$1
92$På grunn av pandemien$På grunn av pandemien$0
93$svaret sitt til NRK.$svaret sitt til NRK.$2
94$farvel med en av$farvel med ein av$1
95$ganske få tilfeller innrapportert$ganske få tilfelle innrapportert$1
96$for vogntog som skal$for vogntog som skal$1
97$bestillingsreferanse og så at$bestillingsreferanse og så at$1
98$sendt ut en e-post$sendt ut ein e-post$1
99$mest tilfledigheter som gjør$mest tilfledigheter som gjer$1
100$Ifølge helseminister Bent Høie$Ifølgje helseminister Bent Høie$0
101$, enten til en$, enten til ein$1
102$direktøren tirsdag egenhendig frakte$direktøren tysdag egenhendig frakta$1
103$noen tusen nordmenn som$nokon tusen nordmenn som$1
104$i Stockholm smittet av$i Stockholm smitta av$1
105$men bedriften har ikke$men bedrifta har ikkje$1
106$kommune , Kari Henriksen$kommune , Kari Henriksen$1
107$at Botanisk hage skal$at Botanisk hage skal$1
108$Han må iverksette en$Han må setja i verk ein$0
109$, men jeg måtte$, men eg måtte$1
110$uansett hva regjeringen anbefaler.$uansett kva regjeringa tilrår.$2
111$målt 240 centimeter snø$målte 240 centimeter snø$1
112$behandling i Kina ,$behandling i Kina ,$1
113$et dorulltårn av tre$eit dorulltårn av tre$1
114$i Earlsferry i landskapet$i Earlsferry i landskapet$1
115$vi ha svar på$vi ha svar på$1
116$morgen tidlig , sier$morgon tidleg , seier$1
117$folk sterkt til å$folk sterkt til å$1
118$i Tromsø kommune ,$i Tromsø kommune ,$1
119$nå ut kister av$no ut kister av$1
120$eksempel på jobbe sammen$døme på jobba saman$1
121$Hinderløype i stua kan$Hinderløype i stova kan$0
122$viser nye tall at$viser nye tal at$1
123$det er påvist smitte$det er påvist smitta$1
124$nabo som fortalte at$nabo som fortalde at$1
125$fisk helt ekstrem ,$fisk heilt ekstrem ,$1
126$og krig , så$og krig , såg$1
127$demokratiske presidentkandidatene Bernie Sanders$demokratiske presidentkandidatane Bernie Sanders$1
128$i Opinion til NTB.$i Opinion til NTB.$2
129$eller annen grunn har$eller annan grunn har$1
130$barnehager , sier Nakstad.$barnehagar , seier Nakstad.$2
131$eksempel konspirasjonsteorier relatert til$døme konspirasjonsteoriar relatert til$1
132$Men når det skjer$Men når det skjer$0
133$hvert gjør fortellingen et$kvart gjer forteljinga eit$1
134$i Oslo kommer ikke$i Oslo kjem ikkje$1
135$På havforskningas Facebook-side gis$På havforskingas Facebook-side blir gitt$0
136$om å levere tilbake$om å levera tilbake$1
137$og vil du sette$og vil du setja$1
138$, sier statsepidemiolog Anders$, seier statsepidemiolog Anders$1
139$bak Norsk koronamonitor ,$bak Norsk koronamonitor ,$1
140$Janusfabrikken i Arna starter$Janusfabrikken i Arna startar$0
141$fikk Lægreid en helt$fekk Lægreid ein helt$1
142$og Samveldelekene , som$og Samveldelekene , som$1
143$kinesiske forbudet virker kosmetisk.$kinesiske forbodet verkar kosmetisk.$2
144$uken et notat til$veka eit notat til$1
145$pasienter rundt i Norge$pasientar rundt i Noreg$1
146$del av Universitetet i$del av Universitetet i$1
147$folk til å trekke$folk til å trekka$1
148$på en måte som$på ein måte som$1
149$Dette er en krim$Dette er ein krim$0
150$Holch Povlsen , i$Holch Povlsen , i$1
151$å slå opp teltet$å slå opp teltet$1
152$man annerledes på saken.$ein annleis på saka.$2
153$la merke til Lægreid$la merke til Lægreid$1
154$velgere i krisetid kan$veljarar i krisetid kan$1
155$hvert store snøfall har$kvart store snøfall har$1
156$noen som helst innvirkning$nokre som helst innverknad$1
157$flyselskapet , og der$flyselskapet , og der$1
158$god utvikling som nå$god utvikling som no$1
159$eksempel maten i Kiwi-poser$døme maten i Kiwi-posar$1
160$pasienter som vanligvis får$pasientar som vanlegvis får$1
161$et spørsmål om at$eit spørsmål om at$1
162$Finnmark fra depoter i$Finnmark frå depot i$1
163$å fylle 750 sider.$å fylla 750 sider.$2
164$om en lang ,$om ein lang ,$1
165$er enige før vi$er samde før vi$1
166$haug med voksne inn$haug med vaksne inn$1
167$Denne helgen var det$Denne helga var det$0
168$svar fra deres pressekontor$svar frå pressekontora deira$1
169$han hyllet av mannskapet.$han hylla av mannskapet.$2
170$Vestfjorden sammenlignet med fjoråret.$Vestfjorden samanlikna med fjoråret.$2
171$munnbindene dermed kan få$munnbinda dermed kan få$1
172$og ta armhevninger over$og ta armhevninger over$1
173$beklager vi så mye$beklagar vi så mykje$1
174$måte enn før ,$måta enn før ,$1
175$at det ikke er$at det ikkje er$1
176$Det er deilig å$Det er herleg å$0
177$i en sånn enorm$i ein sånn enorm$1
178$stått i en storm$stått i ein storm$1
179$vil skjerpe straffen for$vil skjerpa straffa for$1
180$landslaget etter en imponerende$landslaget etter ein imponerande$1
181$For det første ,$For det første ,$0
182$vinteren , men årets$vinteren , men årets$1
183$, vil ikke Melby$, vil ikkje Melby$1
184$Legg gjerne opp til$Legg gjerne opp til$0
185$annenhver dag , etter$annankvar dag , etter$1
186$over Nordpolen , og$over Nordpolen , og$1
187$Det kan vi enten$Det kan vi enten$0
188$, den tibetanske antilopen$, den tibetanske antilopen$1
189$til The Independent at$til The Independent at$1
190$Organisasjonen Normal Norge ,$Organisasjonen Normal Noreg ,$0
191$deg oppdatert i NRKs$deg oppdatert i NRKs$1
192$og værforhold til det.$og vêrforhold til det.$2
193$smelter der inne ,$smeltar der inne ,$1
194$person i Norge nå$person i Noreg no$1
195$ikke lett å forklare$ikkje lett å forklara$1
196$medarbeiderne som fortsatt er$medarbeidarane som framleis er$1
197$blant spionforfatterne , John$blant spionforfatterne , John$1
198$kaldt , kan det$kaldt , kan det$1
199$200 ansatte testes for$200 tilsette blir testa for$1
200$gjennomtenkt , sier Gun$gjennomtenkte , seier Gun$1
201$590 personer får intensivbehandling.$590 personar får intensivbehandling.$0
202$nonsens , til og$nonsens , til og$1
203$hun seg på å$ho seg på å$1
204$til 20–30 personer på$til 20–30 personar på$1
205$vært mer snø på$vore meir snø på$1
206$SMS-er og telefoner i$Sms-ar og telefonar i$1
207$med øvelser kan du$med øvingar kan du$1
208$han ikke den mulige$han ikkje den moglege$1
209$Men der Demokratene ville$Men der Demokratane ville$0
210$reisende frivillig kan godta$reisande frivillig kan godta$1
211$ikke holdes i november$ikkje blir halden i november$1
212$tragiske branner på kort$tragiske brannar på kort$1
213$hvis dyra skal brukes$viss dyra skal brukast$1
214$De to personene som$Dei to personane som$0
215$, kan man få$, kan ein få$1
216$lage noe helt annet.$laga noko heilt anna.$2
217$Ese tror ikke lenger$Esa trur ikkje lenger$1
218$om det er noe$om det er noko$1
219$kinesiske medisinen , som$kinesiske medisinen , som$1
220$drikkevann hvis du kan.$drikkevatn viss du kan.$2
221$som denne i London$som denne i London$1
222$svensk , glutenfri formkake$svensk , glutenfri formkake$1
223$marked i Libreville ,$marknader i Libreville ,$1
224$det ikke lenger kommunister$det ikkje lengre kommunistar$1
225$har romkapasitet til å$har romkapasitet til å$1
226$levert av en privat$leverte av ein privat$1
227$og bord ble brukt$og bord vart brukte$1
228$dyr , eller etter$dyr , eller etter$1
229$dag , og har$dag , og har$1
230$brev hvor de gjorde$brev der dei gjorde$1
231$Folkehelseinstituttet er i gang$Folkehelseinstituttet er i gang$1
232$det er veldig viktig$det er veldig viktig$1
233$til å åpne i$til å opna i$1
234$er rammet av ,$er ramma av ,$1
235$i Stavanger kommune ,$i Stavanger kommune ,$1
236$fra bebodd hus eller$frå budd i hus eller$1
237$sier leder Ståle Nordmo$seier leiar Ståle Nordmo$1
238$hendene , ta den$hendene , ta han$1
239$en video som er$ein video som er$1
240$tirsdag , slår skolebyråd$tysdag , slår skulebyråd$1
241$Eirik Løkke , rådgiver$Eirik Løkke , rådgivar$0
242$Det er kommunenes ansvar$Det er ansvaret til kommunane$0
243$som bør spares til$som bør sparast til$1
244$fraktes ut til 20$blir frakta ut til 20$1
245$fanget , og dyr$fanga , og dyr$1
246$medisinsk oksygen det er$medisinsk oksygen det er$1
247$Janus-sjefen sier at han$Janus-sjefen seier at han$0
248$bekrefter det overfor NRK.$stadfestar det overfor NRK.$2
249$I uka som kommer$I veka som kjem$0
250$Men det kommer nye$Men det kjem nye$0
251$for sikker utveksling av$for sikker utveksling av$1
252$at det ikke er$at det ikkje er$1
253$i marka om dagen.$i marka om dagen.$2
254$har blitt spredt på$har vorte spreidd på$1
255$ha blitt utskrevet vært$ha vorte utskrive vore$1
256$som er seniorrådgiver for$som er seniorrådgivar for$1
257$og dyr som er$og dyr som er$1
258$å ta i retur$å ta i retur$1
259$direktør i ME Data$direktør i ME Data$1
260$du ligger på er$du ligg på er$1
261$bare to av flere$berre to av fleire$1
262$kaotisk situasjon , sier$kaotisk situasjon , seier$1
263$forventer at skolene klarer$forventar at skulane klarer$1
264$Det kan dermed lønne$Det kan dermed lønna$0
265$Hellas er dimensjonert for$Hellas er dimensjonerte for$1
266$en operasjonsstue med dette$ei operasjonsstove med dette$1
267$statsminister Erna Solberg på$statsminister Erna Solberg på$1
268$i det internasjonale friidrettsforbundet$i det internasjonale friidrettsforbundet$1
269$for å få private$for å få private$1
270$har vi 148.000 rein.$har vi 148.000 reiner.$2
271$på at litt for$på at litt for$1
272$Det har hatt en$Det har hatt ein$0
273$ille hvis reindriften ikke$ille viss reindrifta ikkje$1
274$Sammen med kollegene har$Saman med kollegaene har$0
275$han overtok ledelsen om$han overtok leiinga om$1
276$regjeringen har bedt selskapene$regjeringa har bedt selskapa$1
277$har gått gjennom høringsuttalelsene$har gått gjennom høyringsutsegnene$1
278$første deler av sommerferien.$første delar av sommarferien.$2
279$at kommunen har fått$at kommunen har fått$1
280$i Norge nå har$i Noreg no har$1
281$Mange benytter påsken og$Mange nyttar påsken og$0
282$stengte samtidig midlertidig 94$stengde samtidig mellombels 94$1
283$videre , så langt$vidare , så langt$1
284$ikke er i bruk$ikkje er i bruk$1
285$en avfallsstasjon i dag.$ein avfallsstasjon i dag.$2
286$Åstedet for knivstikkingen ligger$Åstaden for knivstikkinga ligg$0
287$tilbydde seg å produsere$tilbaud seg å produsera$1
288$å unngå opphopning av$å unngå opphopning av$1
289$vare hvis dødstallene fortsetter$vare viss dødstala held fram$1
290$lage tydelige kjøreregler for$laga tydelege køyrereglar for$1
291$er Joe Bidens styrke.$er Joe Bidens styrke.$2
292$, og ifølge den$, og ifølgje ho$1
293$få refundert hele billettprisen.$få refundert heile billettprisen.$2
294$marineledelsen og ba om$marineleiinga og bad om$1
295$nå til Børsen at$no til Børsen at$1
296$du rosa eller gult$du rosa eller gult$1
297$sitter med siden mot$sit med sidan mot$1
298$av rekorder og nestenrekorder$av rekordar og nestenrekorder$1
299$vært en medvirkende årsak.$vore ei medverkande årsak.$2
300$hatt , sier hun.$hatt , seier ho.$2
301$fått en rekke tips$fått ei rekke tips$1
302$nede i gropa og$nede i gropa og$1
303$Hyttepåske er ikke erstattet$Hyttepåske er ikkje erstatta$0
304$Allergiforbundet mener vi risikerer$Allergiforbundet meiner vi risikerer$1
305$, men ifølge gründeren$, men ifølgje gründeren$1
306$dem viser pårørende som$dei viser pårørande som$1
307$strekke deg ut ,$strekka deg ut ,$1
308$Farlig nonsens , til$Farleg nonsens , til$0
309$og i stedet lar$og i staden lèt$1
310$150 sauer i fjøset.$150 sauer i fjøset.$2
311$folk følger de reglene$folk følgjer dei reglane$1
312$seg om nasjonale symboler$seg om nasjonale symbol$1
313$en del av smittevernutstyret$ein del av smittevernutstyret$1
314$på 376 siste døgn.$på 376 siste døgn.$2
315$i risikogruppen har kunnskapsministeren$i risikogruppa har kunnskapsministeren$1
316$snur den amerikanske valgkampen$snur den amerikanske valkampen$1
